,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Jihad Plot Sourcebook - Final Reckoning,53,3075,8,1,,,,"Kanrei Minamoto joins with Devlin Stone in promising aid to the devastated world of Shinonoi, an act that spurs outcry from many Arkab world leaders.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,16,3075,8,1,,,,"Kanrei Minamoto joins with Devlin Stone in promising aid to the devastated world of Shinonoi, an act that spurs outcry from many Arkab world leaders.",,,,,,,
Era Report 3145,21,3140,8,1,,,,Trillian Steiner sent to gather aid from Federated Suns.,,,,,,,
Era Report 2750,18,2729,8,2,,,,Jonathan Cameron has Fredasa and the other conspirators tried for treason. They are executed by year’s end.,,,,,,,
Historical - Wars of the Republic Era,15,3100,8,2,,,,Clan Diamond Shark completes its metamorphosis and emerges as Clan Sea Fox.,,,,,,,
Era Report 3145,18,3135,8,2,,,,Malvina Hazen adopts a young girl named Cynthy.,,,,,,,
Handbook House Steiner,37,2812,8,3,,,,"Richard Perkins, disgruntled Landgrave of Hegel—a Donegal Protectorate world decimated by epidemics that could not be controlled thanks to the loss of interstellar commerce—falls under the in?uence of a Free Worlds League spy and attempts to assassinate Archon Richard Steiner in the Royal Court. Though Perkins is arrested and charged with treason, the Archon commutes his sentence to life imprisonment.",,,,,,,
House Book House Davion,71,3003,8,3,,,,"Michael Hasek marries Marie Davion, taking the surname of Hasek-Davion.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,8,3,,,,"Magestrix Naomi Centrella-Liao leads a combined Capellan-Canopian force against the surviving elements of the Word of Blake’s Thirty-fourth Militia on Canopus, reclaiming the capital world after a brief, but bitter struggle.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,16,3075,8,3,,,,"Magestrix Naomi Centrella-Liao leads a combined Capellan-Canopian force against the surviving elements of the Word of Blake’s 34th Militia on Canopus, reclaiming the capital world after a brief, but bitter struggle.",,,,,,,
Dark Age - Shattered Fortress,99,3147,8,3,,,,"Kaff Doru and Sam Calderon announce the arranged marriage of their children, Reva and Bryant; the reunification of the Taurian Concordat and Calderon Protectorate will result in ten years when Bryant reaches majority.",,,,,,,
Historical - Liberation of Terra II,124,2801,8,4,,,,Nicholas Kerensky calls for Second Exodus to Strana Mechty,,,,,,,
House Book House Davion,71,2876,8,4,,,,"First Prince Carl Davion dies in battle on David and is succeeded by his sister, Melissa Davion. First Prince Melissa Davion begins reformations in the AFFS to turn it into her Model Army.",,,,,,,
Dark Age - Shattered Fortress,99,3146,8,4,,,,"Philip Hughes dies in a hunting accident. While Jessica Marik descends into a period of mourning, Regulus attacks the Free Worlds League.",,,,,,,
Era Report 2750,18,2728,8,5,,,,The Crucis Army attempts to retake Royal.,,,,,,,
Historical - Fedcom Civil War,13,3051,8,5,,,,"Captain-General Thomas Marik agrees to supply the AFFC and the DCMS with military equipment; in exchange, his son is brought to New Avalon and placed under the care of doctors from the NAIS",,,,,,,
House Book House Davion,79,3051,8,5,,,,Captain-General Thomas Marik agrees to supply the AFFC and DCMS with war materiel.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,177,3068,8,5,,,,"Citing the loss of stability on Luthien and the Coordinator’s ill heath, Pesht Military District Warlord Tai-shu Kiyomori Minamoto formally assumes command of the DCMS.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,8,5,,,,"Citing the loss of stability on Luthien and the Coordinator’s ill heath, Pesht Military District Warlord Kiyomori Minamoto formally assumes command of DCMS.",,,,,,,
Era Report 3145,21,3138,8,5,,,,End of war between Oriente and Andurien.,,,,,,,
Field Manual - 3145,24,3138,8,5,,,,End of war between Oriente and Andurien.,,,,,,,
Field Manual - Update,10,3062,8,6,,,,"Trinity Alliance signed between the Capellan Confederation, the Magistracy of Canopus and the Taurian Concordat",,,,,,,
Era Report 3145,19,3136,8,6,,,,"The Scourge mutinies against Jacob Bannson and takes him captive, to be turned over to Republic authorities.",,,,,,,
Era Report 2750,21,2749,8,7,,,,Lyran forces gather at New Kyoto.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,177,3068,8,7,3068,8,14,"FedSuns commandos and smaller ’Mech units attached to the Draconis March stage a series of deep objective raids on the undefended Combine worlds of Altais, Chichibu, Junction, Barlow’s Folly, Misery and Beta Mensae V, allegedly looking for and liberating some FCCW-era POWs.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,8,7,3068,8,14,"FedSuns commandos and smaller ’Mech units attached to Draconis March stage a series of deep objective raids on the undefended Combine worlds of Altais, Chichibu, Junction, Barlow’s Folly, Misery, and Beta Mensae V, allegedly looking for and liberating some FCCW-era POWs.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,7,,,,"Prince Kirc Cameron-Jones of the Principality of Regulus declares himself Captain-General, building on past denouncements of the ""false"" Thomas Marik and his own legitimate rule over the League’s next largest member state.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,16,3069,8,7,,,,"Prince Kirc Cameron-Jones of the Principality of Regulus declares himself Captain-General, building on past denouncements of the “false” Thomas Marik and his own legitimate rule over the League’s next largest member state.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3072,8,7,,,,"Archon Peter Steiner-Davion announces the reactivation of the ""Archonettes"" policy, delegating broad powers to regional leaders in troubled peripheral areas in an effort to stem the tide of chaos as the LAAF and government infrastructures remain strained.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,22,3072,8,7,,,,"Archon Peter Steiner-Davion announces the reactivation of the “Archonettes” policy, delegating broad powers to regional leaders in troubled peripheral areas in an effort to stem the tide of chaos as the LAAF and government infrastructures remain strained.",,,,,,,
Era Digest: Dark Age,10,3132,8,7,,,,"Gray Monday. Over the next week, 80% of the HPG network falls dark.",,,,,,,
Field Manual - 3145,23,3132,8,7,,,,"Gray Monday. Over the next week, 80% of the HPG network falls dark.",,,,,,,
Historical - Wars of the Republic Era,16,3132,8,7,,,,Gray Monday. Hyperpulse generators begin failing throughout the Inner Sphere. Within a week fewer than twenty percent remain operational.,,,,,,,
Era Report 3145,18,3135,8,7,,,,Noritomo Helmer promoted to Galaxy Commander and given command of the Falcon’s Reach.,,,,,,,
Era Report 2750,18,2725,8,8,,,,"In an effort to draw Combine forces out of the Federated Suns, the Fourteenth Avalon Hussars invade Homam. The Sixteenth Avalon Hussars land on Junction. The First Robinson Chevaliers attack Donenac.",,,,,,,
Era Report 3062,15,3057,8,8,,,,ilKhan Ulric Kerensky’s trial before the Grand Council of the Clans. The Refusal War begins.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3057,8,8,,,,Ulric is convicted and demands a Trial of Refusal. The Refusal War ensues.,,,,,,,
Field Manual - Update,11,3063,8,8,,,,"Julius O’Reilly kills his father, Sean O’Reilly, and is inaugurated as Caesar of the Marian Hegemony",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,8,3069,8,14,"Word of Blake forces swiftly conquer Addicks, Hoan and Tybalt.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,16,3069,8,8,3069,8,14,"Word of Blake forces swiftly conquer Addicks, Hoan and Tybalt.",,,,,,,
House Book House Davion,55,2796,8,9,,,,Coordinator Minoru killed on Kentares IV.,,,,,,,
Era Report 3062,15,3057,8,9,,,,"Trent and Judith arrive on back on Hyner, returned from their journey down the Exodus Road.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,9,,,,"""Thomas Marik"" is deposed by apparent pro-Blakist elements led by Corinne Marik, a niece of the last known legitimate Marik ruler. Meanwhile, the Capellan offensive against the FedSuns continues with assaults on Halloran V and Taygeta.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,18,3069,8,9,,,,"“Thomas Marik” is deposed by apparent pro-Blakist elements led by Corrine Marik, a niece of the last known legitimate Marik ruler. Meanwhile, the Capellan offensive against the FedSuns continues with assaults on Halloran V and Taygeta.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,9,,,,The Free Worlds League government on Atreus cedes the world of Gibson to the control of Manei Domini Precentor Apollyon.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,9,,,,The Free Worlds League government on Atreus cedes the world of Gibson to the control of Manei Domini Precentor Apollyon.,,,,,,,
Historical - Fedcom Civil War,11,3024,8,10,,,,"After almost two years of negotiations, the final language and agreements in the Concord of Kapteyn is accepted",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,10,,,,Corinne Marik is sworn in as Captain-General of the Free Worlds League.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,18,3069,8,10,,,,Corrine Marik is sworn in as Captain-General of the Free Worlds League.,,,,,,,
Era Digest: Dark Age,10,3130,8,10,,,,Devlin Stone retires and vanishes from the public eye. Damien Redburn succeeds him as Exarch.,,,,,,,
Historical - Wars of the Republic Era,16,3130,8,10,,,,Devlin Stone shocks the Inner Sphere with the announcement of his sudden retirement. He appoints Damien Redburn as the next Exarch and then disappears.,,,,,,,
Era Digest: Dark Age,10,3133,8,10,,,,Long-term trade agreement between the Republic and the Lyran Commonwealth.,,,,,,,
Era Report 3145,24,3144,8,10,,,,Julian Davion learns of the Combine invasion and Caleb’s death.,,,,,,,
Historical - First Succession War,114,2784,8,11,,,,Jerome Blake reestablishes First Circuit of SLCOMNET,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,11,,,,"In the Draconis Combine, the Azami population leadership declares a state of emergency and recalls all remaining Arkab Legions to Algedi against the orders of the Coordinator.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,11,,,,"In the Draconis Combine, the Azami population leadership declares a state of emergency and recalls all remaining Arkab Legions to Algedi against the orders of the Coordinator.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,8,11,,,,"Word of Blake sends a combination of mercenary and pirate troops to retake Marcus, forcing the allies to withdraw to Dieudonne.",,,,,,,
Era Digest: Golden Century,8,2781,8,12,,,,Star League dissolved,,,,,,,
Historical - Liberation of Terra II,124,2781,8,12,,,,High Council disbanded; remaining Star League institutions (except the Ministry of Communications and the SLDF) cease operation,,,,,,,
Historical - Operation Klondike,101,2781,8,12,,,,Star League Council dissolves the Star League,,,,,,,
House Book House Davion,49,2781,8,12,,,,Star League dissolved.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2781,8,12,,,,Star League dissolved.,,,,,,,
House Book House Davion,71,2879,8,12,,,,Marshal Joseph Davion II recaptures Robinson.,,,,,,,
Era Report 3062,26,3058,8,12,,,,Clan Star Adder Khan Cassius N’Buta discovers evidence of Clan Burrock’s connections to the Dark Caste.,,,,,,,
Field Manual - Update,11,3064,8,12,,,,Khan Malavai Fletcher killed in a Trial of Possession; Star Colonel James Cobb elevated to Khan of Clan Hell’s Horses,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,8,12,,,,Lyran and Wolf (in Exile) forces on Zanderij finally repel the attacking Jade Falcons.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,22,3070,8,12,,,,Lyran and Wolf (in Exile) forces on Zanderij finally repel the attacking Jade Falcons.,,,,,,,
Era Report 3145,21,3138,8,12,,,,Tamarind-Abbey forces assault Lyrans on Simpson Desert.,,,,,,,
Field Manual - 3145,24,3138,8,12,,,,Tamarind-Abbey forces assault Lyrans on Simpson’s Desert.,,,,,,,
Era Report 3052,14,3049,8,13,,,,Phelan kell—son of Morgan kell and member of the kell Hounds mercenary unit—is captured by Clan Wolf on The rock. The kell Hounds are the first Inner sphere unit to encounter the Clans and retreat with vital information about the new attacker.,,,,,,,
Era Report 3062,26,3059,8,13,,,,"Clan Smoke Jaguar, struggling beneath the onslaught of the combined powers of the Inner Sphere, orders the evacuation of Inner Sphere. Without knowing it, the Smoke Jaguar’s remnants are slowly headed toward the same destination as Task Force Serpent.",,,,,,,
Field Manual - Update,8,3059,8,13,,,,Operation Bulldog task force follows the retreating Smoke Jaguars back toward the Clan Homeworlds,,,,,,,
Historical - Fedcom Civil War,16,3059,8,13,,,,The Operation Bulldog task force follows the retreating Smoke Jaguars back towards the Clan Homeworlds,,,,,,,
House Book House Davion,83,3059,8,13,,,,Operation BULLDOG forces pursue ?eeing Clan Smoke Jaguar units.,,,,,,,
Field Manual - Update,11,3064,8,13,,,,Start of the first battle for Melissia; General Sharon Bryan killed three days later; General Adam Steiner takes command of Melissia Theater and orders retreat from the world,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3072,8,13,,,,A Word of Blake raiding force strikes at Markesan in an effort to destroy the FedSuns leadership there but is thwarted by the Princess-Regent’s aerospace and naval defense forces.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,22,3072,8,13,,,,A Word of Blake raiding force strikes at Markesan in an effort to destroy the FedSuns leadership there but is thwarted by the Princess Regent’s aerospace and naval defense forces.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3073,8,13,,,,"A Regulan attack force attacks Gibson. Though they meet no resistance entering the system, the force is virtually eradicated on the ground by the defending Word of Blake forces led by the Fifty-second and Forty-ninth Shadow Divisions. Blakist Warships in turn appear to shatter the Regulan naval forces, leaving few survivors.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,30,3073,8,13,,,,"A Regulan attack force attacks Gibson. Though they meet no resistance entering the system, the force is virtually eradicated on the ground by the defending Word of Blake forces led by the Fiftysecond and Forty-ninth Shadow Divisions. Blakist Warships in turn appear to shatter the Regulan naval forces, leaving few survivors.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,14,3071,8,28,"Clan Hell’s Horses’ advance into Wolf Clan territory stalls at a line of worlds from Ferleiten to Zoetermeer. Meanwhile, Ghost Bear forces launch Trials on Balsta, Hermagor, and Dawn.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,14,3071,8,28,"Clan Hell’s Horses’ advance into Wolf Clan territory stalls at a line of worlds from Ferleiten to Zoetermeer. Meanwhile, Ghost Bear forces launch Trials on Balsta, Hermagor, and Dawn.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,8,14,3075,8,28,"Ghost Bear forces advance through Combine space, ignoring all hails. Their first strikes land on the Blakist-held worlds of Cebalrai, Vega, Eltanin, Alya. A second wave hits Kaus Borealis.",,,,,,,
Era Digest: Age of War,7,2569,8,15,,,,Draconis Combine joins the Star League,,,,,,,
Era Report 2750,10,2569,8,15,,,,Treaty of Vega is signed. The Draconis Combine becomes the last major power to join the Star League.,,,,,,,
Handbook House Marik,25,2569,8,15,,,,"Hehiro Kurita signs the Treaty of Vega, making the Combine the last great power to join the Star League.",,,,,,,
House Book House Davion,49,2569,8,15,,,,"Treaty of Vega signed, pledging the Draconis Combine to the Star League.",,,,,,,
Era Report 2750,13,2584,8,15,,,,Reginald Marik is killed in a raid on New Vandenburg.,,,,,,,
Historical - Fedcom Civil War,16,3061,8,15,,,,Riots and open fighting break out on Solaris VII following a championship match,,,,,,,
Field Manual - Update,10,3062,8,15,,,,Riots and open fighting break out on Solaris VII,,,,,,,
House Book House Davion,83,3062,8,15,,,,Riots and open fghting between Lyran and Suns natives on Solaris VII break out.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,15,,,,Clan Jade Falcon completes its capture of Deia.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,18,3069,8,15,,,,Clan Jade Falcon completes its capture of Deia.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3072,8,15,,,,"The Kaumberg Planetary Guard assaults Novara and shatters the Democratic People’s Army, but not before Democracy Now’s leader, Lindon Ashley, escapes.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,22,3072,8,15,,,,"The Kaumberg Planetary Guard assaults Novara and shatters the Democratic People’s Army, but not before Democracy Now’s leader, Lindon Ashley, escapes.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,52,3074,8,15,,,,"After almost two years in hiding, Lindon Ashley resurfaces on Virtue and rallies the Democracy Now movement once more. The Kaumberg Planetary Guard, already scattered to train a credible defense force for the Kaumberg Archonette, is slow to respond.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,51,3074,8,15,,,,"After almost two years in hiding, Lindon Ashley resurfaces on Virtue and rallies the Democracy Now movement once more. The Kaumberg Planetary Guard, already scattered to train a credible defense force for the Kaumberg Archonette, is slow to respond.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3076,8,15,,,,"Protectorate forces attack New Hessen, employing tactical nuclear weapons and fuel-air explosives to clear and secure landing zones, but the determined defenders on New Hessen quickly trap the Blakist forces planetside. Meanwhile, FedSuns pocket Warships and the Fox-class New Syrtis intercept the Vendetta and her task force at Firgrove. Both Warships are damaged, but the Vendetta manages to escape.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,21,3076,8,15,,,,"Protectorate forces attack New Hessen, employing tactical nuclear weapons and fuel-air explosives to clear and secure landing zones, but the determined defenders on New Hessen quickly trap the Blakist forces planet side. Meanwhile, FedSuns pocket Warships and the Fox-class New Syrtis intercept the Vendetta and her task force at Firgrove. Both Warships are damaged, but the Vendetta manages to escape.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,15,,,,The invasion of the Terra system begins as Coalition ships jump in near the Titan yards. The Word of Blake throws up a furious space defense against a fleet comprised almost entirely of Clan ships.,,,,,,,
Era Digest: Dark Age,10,3134,8,15,,,,Liao falls to Capellan invaders and internal rebellion. Jade Falcons driven from Skye.,,,,,,,
Field Manual - 3145,23,3134,8,15,,,,Liao falls to Capellan invaders. Jade Falcons driven from Skye.,,,,,,,
Field Manual - 3145,24,3142,8,15,,,,Most of Kell Hounds regiment annihilated by Jade Falcons on Timkovichi.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,17,,,,The Word of Blake forces on Solaris reclaim the International Zone in a blitzkrieg assault.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,17,,,,The Word of Blake forces on Solaris reclaim the International Zone in a blitzkrieg assault.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,17,,,,"Devlin Stone’s main fleet arrives at a pirate point near Terran orbit. In the midst of a fierce orbital battle, Coalition troops drop toward sites across the globe. Devlin Stone’s attack forces land in the American continents and Europe, while Belle Lee’s groups target the Mediterranean area, North Africa, and Asia. Roughly 47 allied regiments—many weakened after months of heavy fighting—face off against 23 regiments’ worth of defending forces, plus massive static defenses.",,,,,,,
Field Manual - Update,13,3066,8,18,,,,Start of the battle for Tharkad,,,,,,,
House Book House Davion,83,3066,8,18,,,,Battle of Tharkad begins.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,8,18,,,,"The Capellan Confederation retakes Ningpo and Poznan, but not before both the Blakist defenders and the Confederation troops resort to nuclear and chemical attacks to destroy one another.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,18,,,,Coalition forces under the command of Marcel Webb strike at the Word of Blake support bases on Luna.,,,,,,,
Era Report 3145,22,3141,8,18,,,,"Katana Tormark, Warlord of Dieron, throws her support behind Emi Kurita.",,,,,,,
Field Manual - 3145,24,3141,8,18,,,,"Katana Tormark, Warlord of Dieron, throws her support behind Emi Kurita.","3141: Katana Tormark, Warlord of Dieron, throws her support behind Emi Kurita.",,,,,,
Era Report 2750,13,2584,8,19,,,,General Forlough assumes command of the Taurian ROC.,,,,,,,
Era Report 2750,18,2729,8,19,,,,"Jonathan Cameron recruits his sister to help with the crises. Over the next few months, Mother Jocasta becomes the de facto First Lord.",,,,,,,
Era Digest: Golden Century,8,2785,8,19,,,,Prinz Eugen Revolt,,,,,,,
Historical - Liberation of Terra II,124,2785,8,19,,,,Prinz Eugen Revolt in the Exodus Fleet,,,,,,,
Historical - Operation Klondike,102,2785,8,19,,,,Prinz Eugen Revolt—nine ships mutiny and attempt to return to the Inner Sphere,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,8,19,,,,"Alleged Marian hegemony forces sack Niops V, shattering the NAM defenders present there. The raid forces Brigadier Fallon to redeploy troops intended to deal with the Association’s internal rebellion.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,19,,,,"Stone’s forces establish beachheads outside of Dallas/Fort Worth and in the Yucca Flats, but the assault on Hilton Head fails. Landings also occur near and around Rio de Janeiro, Sandhurst, Geneva, Singapore, Tokyo, Moscow, Cairo, Athens, and Sydney.",,,,,,,
Historical - Second Succession War,81,2845,8,20,,,,"Leutnant-General Claudius Steiner assaults Tharkad and deposes Melissa Nin, executing her and Speaker Dinesen on charges of treason; Estates General disbanded",,,,,,,
Historical - Fedcom Civil War,11,3028,8,20,,,,Hanse Davion and Melissa Steiner married on Terra; AFFS and LCAF launch Fourth Succession War,,,,,,,
House Book House Davion,79,3028,8,20,,,,Marriage of First Prince Hanse Davion and Archon-Designate Melissa Steiner; Operations RAT and GöTTERDäMMERUNG begin; start of Fourth Succession War.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3028,8,20,,,,"Hanse Davion marries Melissa Steiner. Fourth Succession War begins, lasting until January 3030.",,,,,,,
Jihad Plot Sourcebook - Blake Ascending,177,3068,8,20,,,,"Capellan March troops secure Aldertaine, Glasgow, Hexare, Imalda, New Westin and Homestead even as Capellan counterattacks bog down two of Sovereign Justice’s three fronts.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,8,20,,,,"Capellan March troops secure Aldertaine, Glasgow, Hexare, Imalda, New Westin, and Homestead even as Capellan counterattacks bog down two of SOVEREIGN JUSTICE’s three fronts.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,20,,,,All communications from the Capellan world of Necromo fall silent. Later investigation reveals the world was struck by several rogue asteroids and at least one Word of Blake Shadow Division.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,20,,,,All communications from the Capellan world of Necromo fall silent. Later investigation reveals the world was struck by several rogue asteroids and at least one Word of Blake Shadow Division.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,8,20,,,,"During their desperate defense of Cebalrai, the Blakist forces there resort to detonating a large neutron weapon that wipes out the Seventh Bear Regulars and the Sixty-ninth PGC, the Blakist defenders themselves, and thousands of civilians.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,17,3075,8,20,,,,"During their desperate defense of Cebalrai, the Blakist forces there resort to detonating a large neutron weapon that wipes out the Seventh Bear Regulars and the Sixty-ninth PGC, the Blakist defenders themselves, and thousands of civilians.",,,,,,,
Era Report 3145,25,3145,8,20,,,,Menkent peacefully annexed by Jade Falcons.,,,,,,,
Field Manual - 3145,25,3145,8,20,,,,Menkent peacefully annexed by Jade Falcons.,,,,,,,
Field Manual - Update,10,3062,8,21,,,,Minoru (Kurita,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,8,21,,,,Clan Snow Raven’s task force— now reduced to two damaged Warships— reportedly returns to the Outworlds Alliance world of Ramora.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,18,3069,8,21,,,,Clan Snow Raven’s task force—now reduced to two damaged Warships—reportedly returns to the Outworlds Alliance world of Ramora.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,8,21,,,,"Ragnar Magnusson addresses the Rasalhague Republic government on Orestes, launching negotiations on behalf of the Ghost Bear Dominion for an accord on behalf of ""all Rasalhagian peoples.""",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,22,3070,8,21,,,,"Ragnar Magnusson addresses the Rasalhague Republic government on Orestes, launching negotiations onbehalf of the Ghost Bear Dominion for an accord on behalf of “all Rasalhagian peoples.”",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3073,8,21,,,,"The ""false"" Thomas Marik arrives on Sian under a flag of truce to negotiate a cease-fire between the Capellan Confederation and the Free Worlds League. Word of Blake operatives attempt to assassinate the deposed Captain-General but are thwarted by Capellan security.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,33,3073,8,21,,,,The “false” Thomas Marik arrives on Sian under a flag of truce to negotiate a cease-fire between the Capellan Confederation and the Free Worlds League. Word of Blake operatives attempt to assassinate the deposed CaptainGeneral but are thwarted by Capellan security.,,,,,,,
Era Report 3145,18,3135,8,21,,,,Capellans take Ningpo.,,,,,,,
Field Manual - 3145,23,3135,8,21,,,,Capellans take Ningpo.,,,,,,,
Era Report 2750,10,2571,8,22,,,,"Cameron’s wife, Shandra Noruff-Cameron, appointed Commander in Chief of the as-yet-unrealized Star League Defense Force. The Star League Defense Force is created by drawing soldiers from all six realms. Hegemony units, known ""Royal"" units, form the core of the newly created SLDF.",,,,,,,
Era Report 2750,15,2641,8,22,,,,Joseph Cameron dies in a war game mishap.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,177,3068,8,22,3068,8,30,"Word of Blake troops assault Liberty and Genoa, though resistance on Genoa continues.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,8,22,3068,8,30,"Word of Blake assaults Liberty and Genoa, though resistance on Genoa continues.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,8,22,,,,Rebel Warships in the Shiloh system ambush and destroy two Word of Blake Warships.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,23,3070,8,22,,,,Rebel Warships in the Shiloh system ambush and destroy two Word of Blake Warships.,,,,,,,
Era Report 2750,15,2681,8,23,,,,The First Hidden War begins with the first duel between the SLDF and a Draconis Combine MechWarrior near Fort Shandra on Benjamin.,,,,,,,
Era Report 2750,31,2722,8,23,,,,"Star League Directive 41 Instituted: Eliminated BSLA oversight on Periphery affairs, effectively creating legal means for the member states to exploit the territorial states.",,,,,,,
Era Report 2750,17,2722,8,23,,,,Directive 41 eliminates BSLA oversight on business dealings with the Periphery.,,,,,,,
Era Report 3145,24,3144,8,23,,,,Combine forces invade Robinson.,,,,,,,
Field Manual - 3145,25,3144,8,23,,,,Combine forces invade Robinson.,,,,,,,
Era Report 2750,19,2735,8,24,,,,"Richard Davion passes the Preparedness Act, creating an extensive militia in the Federated Suns.",,,,,,,
Era Digest: Golden Century,8,2786,8,24,,,,"SLDF Exodus fleet reaches the Pentagon Worlds, founds ""Star League in Exile""",,,,,,,
Historical - Liberation of Terra II,124,2786,8,24,,,,Exodus Fleet arrives at the Pentagon Worlds,,,,,,,
Historical - Operation Klondike,102,2786,8,24,,,,Exodus Fleet arrives in the Pentagon,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2786,8,24,,,,The Exodus fleet arrives at the Pentagon.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,8,24,,,,Mercenary-supported forces from the Kaumberg Archonette assault Virtue in force. The DPA defenders surrender after a two-week siege and Lindon Ashley is taken prisoner.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,17,3075,8,24,,,,Mercenary-supported forces from the Kaumberg Archonette assault Virtue in force. The DPA defenders surrender after a two-week siege and Lindon Ashley is taken prisoner.,,,,,,,
Era Report 3145,23,3143,8,24,,,,Alaric Ward elected Khan of Clan Wolf. He also declares himself Archon of the Lyran Commonwealth under the name Alaric Steiner.,,,,,,,
Field Manual - 3145,25,3143,8,24,,,,Alaric Ward elected Khan of Clan Wolf. He also declares himself Archon of the Lyran Commonwealth under the name Alaric Steiner.,,,,,,,
Historical - Wars of the Republic Era,16,3143,8,24,,,,Alaric Ward becomes khan of Clan Wolf and also claims the title of Archon Alaric Steiner.,,,,,,,
